Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
MN,144 BLEECKER STREET,144 Bleecker Street,Bushwick Geographic Targeting Task Force,N,N,N,Y
QN,119-45 UNION TURNPIKE,119-45 Union Turnpike,Queens Jewish Community Council (QJCC),N,N,N,Y
QN,119-45 UNION TURNPIKE,119-45 Union Turnpike,Pragati,N,N,N,Y
MN,280 HENRY STREET,280 Henry Street,Betances Health Center,N,N,N,Y
MN,350 BROADWAY,350 Broadway,LIFT (Legal Information for Families Today),N,N,N,Y
MN,75 MAIDEN LANE,75 Maiden Lane,A Better Balance,N,N,N,Y
BX,1055 GRAND CONCOURSE,1055 GRAND CONCOURSE,Neighborhood Association for Inter-Cultural Affairs (NAICA),N,N,N,Y
MN,441 WEST END AVENUE,441 West End Avenue,Jewish Renaissance Center,N,N,N,Y
MN,225 VARICK STREET,225 Varick Street,Legal Action Center,N,N,N,Y
BX,1720 METROPOLITAN AVENUE,1720 Metropolitan Avenue,St. Raymond Community Outreach,N,N,N,Y
BK,3815 AVENUE P,3815 Avenue P,Imeinu, Inc.,N,N,N,Y
QN,90-37 CORONA AVENUE,90-37 Corona Avenue,Centro Civico Colombiano,N,N,N,Y
QN,243-02 NORTHERN BOULEVARD,243-02 Northern Boulevard,Pride of Judea Community Services,N,N,N,Y
QN,185-14 HILLSIDE AVENUE,185-14 Hillside Avenue,Filipino American Human Services, Inc.,N,N,N,Y
MN,90 BROAD STREET,90 Broad Street,Gay, Lesbian, and Straight Education Network,N,N,N,Y
SI,90 BROAD STREET,90 Broad Street,Gay, Lesbian, and Straight Education Network,N,N,N,Y
QN,60-05 WOODHAVEN BOULEVARD,60-05 Woodhaven Boulevard,Jewish Institute of Queens,N,N,N,Y
BK,249 MANHATTAN AVENUE,249 Manhattan Avenue,Grassroots Organizations Operating Together In Sisterhood Inc.,N,N,N,Y
BK,249 MANHATTAN AVENUE,249 Manhattan Avenue,Huairou Commission,N,N,N,Y
SI,58 NEW DORP PLAZA,58 New Dorp Plaza,Reach to Recovery/American Cancer Society,N,N,N,Y
BK,525 PARKSIDE AVENUE,525 Parkside Avenue,Flatbush Action Community Day Care Center, Inc.,N,N,N,Y
BK,150 BROADWAY,150 Broadway,League of Women Voters of the City of New York Education Fund,N,N,N,Y
