Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
BK,2 NORTHSIDE PIERS,,,,,,,
MN,110 GREENWICH STREET,,,,,,,
MN,1440 2 AVENUE,,,,,,,
BX,1450 MORRIS AVENUE,,,,,,,
MN,243 WEST 60 STREET,,,,,,,
BX,1205 COLLEGE AVENUE,,,,,,,
BK,575 5 AVENUE,,,,,,,
QN,9-10 DINSMORE AVENUE,,,,,,,
BX,19 EAST GUN HILL ROAD,,,,,,,
BX,239 EAST KINGSBRIDGE RD,,,,,,,
BX,733 ARNOW AVENUE,,,,,,,
BX,1796 VYSE AVENUE,,,,,,,
QN,244-04 NORTH CONDUIT AVENUE,,,,,,,
BX,58 EAST 190 STREET,,,,,,,
BK,6801 21 AVENUE,,,,,,,
QN,40-18 HAMPTON STREET,,,,,,,
MN,51 WEST 55 STREET,,,,,,,
BK,1860 EAST 12 STREET,,,,,,,
BK,753 CLASSON AVENUE,,,,,,,
QN,164-11 CHAPIN PARKWAY,,,,,,,
MN,10 9 AVENUE,,,,,,,
MN,512 WEST 162 STREET,,,,,,,
MN,246 WEST 61 STREET,,,,,,,
BK,587 EMPIRE BOULEVARD,,,,,,,
BX,1970 WALTON AVENUE,,,,,,,
BX,65 JESUP PLACE,,,,,,,
MN,232 SHERMAN AVENUE,,,,,,,
BX,1895 MORRIS AVENUE,,,,,,,
BK,490 MYRTLE AVENUE,,,,,,,
MN,1 BEEKMAN PLACE,,,,,,,
MN,45 EAST 80 STREET,,,,,,,
MN,1060 AMSTERDAM AVENUE,,,,,,,
MN,25 PARK PLACE,,,,,,,
