Borough,Address,Violation Type
MN,327 EAST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,463 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,686 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,310 EAST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,516 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,540 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,433 EAST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,230 AVENUE C,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1450 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,136 WEST 44 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 WEST 45 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,115 WEST 45 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,109 WEST 45 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,151 WEST 46 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,142 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,76179 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,811 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1301 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,159 WEST 53 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,136 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,859 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1401 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 WEST 58 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,145 WEST 57 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,100 WEST 58 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,112 CENTRAL PARK SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,680 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,229 WEST 43 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,227 WEST 46 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,220 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1613 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1648 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,834 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1672 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,254 WEST 54 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,848 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1776 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,330 WEST 42 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,305 WEST 42 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,349 WEST 48 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,335 WEST 50 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,350 WEST 51 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,911 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,340 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,350 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,347 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,315 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,345 WEST 58 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,538 10 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,440 WEST 41 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,251 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,226 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,233 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,215 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,10 EAST 40 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,35 EAST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
