Borough,Address,Sale Date,Sale Price
MN,152 EAST 118 STREET,07/19/2019,0
BX,704 EAST 134 STREET,07/01/2019,0
MN,699 2 AVENUE,07/16/2019,446078
MN,2033 1 AVENUE,07/02/2019,6500000
MN,2283 1 AVENUE,08/01/2019,1700413
MN,194 LENOX AVENUE,07/26/2019,0
MN,7 WEST 122 STREET,07/31/2019,0
MN,10 WEST 123 STREET,07/24/2019,0
MN,320 EAST 30 STREET,07/02/2019,0
MN,129 WEST 46 STREET,07/29/2019,24000000
MN,1381 AVENUE OF THE AMER,07/17/2019,255000
MN,1381 AVENUE OF THE AMER,07/10/2019,649000
MN,82 WEST 120 STREET,07/31/2019,0
MN,48 WEST 120 STREET,07/24/2019,0
BX,686 ST ANNS AVENUE,07/02/2019,450000
MN,453 FDR DRIVE,07/11/2019,725000
MN,453 FDR DRIVE,07/25/2019,1710000
MN,349 WEST 44 STREET,07/24/2019,450000
MN,42 WEST 138 STREET,07/11/2019,140000
BX,607 WALES AVENUE,07/03/2019,745000
MN,315 WEST 55 STREET,07/23/2019,394000
MN,451 WEST 48 STREET,07/01/2019,552000
MN,1831 MADISON AVENUE,07/29/2019,674000
MN,3 EAST 131 STREET,07/31/2019,370000
MN,311 EAST 119 STREET,07/12/2019,0
BX,1000 TINTON AVENUE,07/03/2019,649000
MN,498 WEST 55 STREET,07/16/2019,405000
MN,17 WEST 67 STREET,07/23/2019,700000
MN,120 WEST 78 STREET,07/16/2019,960000
MN,50 WEST 106 STREET,07/17/2019,599000
BX,1035 REV JAMES POLITE AVE,07/16/2019,575000
MN,271 WEST 70 STREET,07/16/2019,770000
MN,303 WEST 66 STREET,07/18/2019,0
MN,315 WEST END AVENUE,07/26/2019,1075000
MN,321 WEST 78 STREET,07/08/2019,775000
MN,41 WEST 82 STREET,07/22/2019,1475000
MN,370 CENTRAL PARK WEST,07/09/2019,1050000
MN,2780 BROADWAY,07/10/2019,1350000
MN,150 WEST 87 STREET,07/09/2019,0
MN,541 AMSTERDAM AVENUE,07/29/2019,740000
MN,541 AMSTERDAM AVENUE,07/15/2019,1110000
BX,1201 LAFAYETTE AVENUE,08/01/2019,64582900
BX,828 MANIDA STREET,07/22/2019,0
MN,202 WEST 85 STREET,07/30/2019,1656000
MN,2460 BROADWAY,07/17/2019,1825000
MN,110 RIVERSIDE DRIVE,07/15/2019,1730000
MN,323 WEST 101 STREET,07/22/2019,0
MN,853 WEST END AVENUE,07/31/2019,690000
MN,310 RIVERSIDE DRIVE,07/01/2019,350000
MN,360 RIVERSIDE DRIVE,07/17/2019,930000
MN,615 WEST 113 STREET,08/01/2019,535000
MN,124 WEST 120 STREET,07/26/2019,0
MN,156 WEST 121 STREET,07/24/2019,0
MN,678 LEXINGTON AVENUE,07/18/2019,76896104
MN,680 LEXINGTON AVENUE,07/18/2019,76896104
MN,684 LEXINGTON AVENUE,07/18/2019,76896104
MN,686 LEXINGTON AVENUE,07/18/2019,10720623
MN,420 EAST 51 STREET,07/25/2019,375000
MN,425 EAST 51 STREET,07/23/2019,555000
MN,400 EAST 56 STREET,08/01/2019,0
MN,400 EAST 56 STREET,07/23/2019,0
MN,400 EAST 56 STREET,07/17/2019,1500000
MN,20 SUTTON PLACE SOUTH,07/01/2019,920000
MN,440 EAST 56 STREET,07/01/2019,725000
MN,440 EAST 56 STREET,07/10/2019,0
MN,118 WEST 124 STREET,07/24/2019,0
MN,120 WEST 124 STREET,07/24/2019,0
MN,135 WEST 126 STREET,07/18/2019,1600000
MN,256 WEST 117 STREET,07/15/2019,0
MN,208 WEST 119 STREET,07/25/2019,525000
MN,31 EAST 72 STREET,07/18/2019,525000
